main_reference_number,supplement_reference_number,citation_key,title,venue,year,publication_url,bibtex_status,bibtex_source
29,28,zhan2026exgrpo,ExGRPO: Learning to Reason from Prior Successes,ICLR,2026,https://openreview.net/forum?id=701tjQXWVk,source export,openreview
30,9,he-etal-2025-openwebvoyager,"OpenWebVoyager: Building Multimodal Web Agents via Iterative Real-World Exploration, Feedback and Optimization",ACL,2025,https://aclanthology.org/2025.acl-long.1336/,source export,review40_official.bib
31,34,yang2025selfguided,Self-Guided Hierarchical Exploration for Generalist Foundation Model Web Agents,NeurIPS,2025,https://openreview.net/forum?id=9twwDW60Bw,source export,openreview
32,13,pan2026advevomarl,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,ICML,2026,https://openreview.net/forum?id=5D3ZblXmW2,source export,review40_official.bib
33,37,liu2026spiral,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,ICLR,2026,https://openreview.net/forum?id=7Yayy5fNLg,source export,openreview
34,30,wu-2024-uicoder,UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback,NAACL,2024,https://aclanthology.org/2024.naacl-long.417/,source export,acl_anthology
35,31,Qiu_2025_CVPR,STEP: Enhancing Video-LLMs' Compositional Reasoning by Spatio-Temporal Graph-guided Self-Training,CVPR,2025,https://openaccess.thecvf.com/content/CVPR2025/html/Qiu_STEP_Enhancing_Video-LLMs_Compositional_Reasoning_by_Spatio-Temporal_Graph-guided_Self-Training_CVPR_2025_paper.html,source export,cvf
36,32,zhao2026achieving,Achieving Expert-Level Agent from Foundation Model via Complexity Curriculum Reinforcement Learning with Synthetic Data,ICLR,2026,https://openreview.net/forum?id=1sffPGGQyT,source export,openreview
37,33,wang-etal-2026-gui0,GUI0: Self-Evolving Foundational GUI Agents in Super App Ecosystems,ACL,2026,https://aclanthology.org/2026.acl-long.2052/,source export,acl_anthology
38,14,zhou2024calibrated,Calibrated Self-Rewarding Vision Language Models,NeurIPS,2024,https://openreview.net/forum?id=nXYedmTf1T,source export,review40_official.bib
39,,lee2024rlaif,RLAIF vs. RLHF: Scaling Reinforcement Learning from Human Feedback with AI Feedback,ICML 2024 Poster,2024,https://openreview.net/forum?id=uydQ2W41KO,source export,https://openreview.net/forum?id=uydQ2W41KO
40,42,asai2024selfrag,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",ICLR 2024 oral,2024,https://openreview.net/forum?id=hSyW5go0v8,source export,https://openreview.net/forum?id=hSyW5go0v8
41,44,xie2025teaching,Teaching Language Models to Critique via Reinforcement Learning,ICML,2025,https://openreview.net/forum?id=UVoxPlv5E1,source export,openreview
42,46,setlur2025rewarding,Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,ICLR,2025,https://openreview.net/forum?id=A6Y7AqlzLW,source export,openreview
43,45,yang2025the,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,NeurIPS,2025,https://openreview.net/forum?id=D88yhLFzDR,source export,openreview
44,48,ma2024eureka,Eureka: Human-Level Reward Design via Coding Large Language Models,ICLR 2024 poster,2024,https://openreview.net/forum?id=IEduRUO55F,source export,https://openreview.net/forum?id=IEduRUO55F
45,6,hazra2025revolve,REvolve: Reward Evolution with Large Language Models using Human Feedback,ICLR,2025,https://openreview.net/forum?id=cJPUpL8mOw,source export,review40_official.bib
46,49,Huang2025efficient,Efficient Language-instructed Skill Acquisition via Reward-Policy Co-Evolution,AAAI,2025,https://doi.org/10.1609/aaai.v39i14.33597,source export,review40_official.bib
47,10,shao2026dr,DR Tulu: Reinforcement Learning with Evolving Rubrics for Deep Research,ICML,2026,https://openreview.net/forum?id=97NEP1pyS3,source export,review40_official.bib
48,50,chen2026rucl,RuCL: Stratified Rubric-Based Curriculum Learning for Multimodal Large Language Model Reasoning,ICML,2026,https://openreview.net/forum?id=TFhUQ6uFCP,source export,openreview
49,52,yang2024large,Large Language Models as Optimizers,ICLR 2024 poster,2024,https://openreview.net/forum?id=Bb4VGOWELI,source export,https://openreview.net/forum?id=Bb4VGOWELI
50,53,guo2024connecting,Connecting Large Language Models with Evolutionary Algorithms Yields Powerful Prompt Optimizers,ICLR 2024 poster,2024,https://openreview.net/forum?id=ZG3RaNIsO8,source export,https://openreview.net/forum?id=ZG3RaNIsO8
51,58,khattab2024dspy,DSPy: Compiling Declarative Language Model Calls into State-of-the-Art Pipelines,ICLR 2024 spotlight,2024,https://openreview.net/forum?id=sY5N0zY5Od,source export,https://openreview.net/forum?id=sY5N0zY5Od
52,59,Yuksekgonul2025,Optimizing generative AI by backpropagating language model feedback,Nature,2025,https://doi.org/10.1038/s41586-025-08661-4,source export,https://citation-needed.springer.com/v2/references/10.1038/s41586-025-08661-4?format=bibtex&flavour=citation
53,,zhang2025aflow,AFlow: Automating Agentic Workflow Generation,ICLR 2025 Oral,2025,https://openreview.net/forum?id=z5uVAKwmjf,source export,https://openreview.net/forum?id=z5uVAKwmjf
54,62,Yang2026raas,RAAS: LLM Agentic System Architecture Search with GRPO,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_RAAS_LLM_Agentic_System_Architecture_Search_with_GRPO_CVPR_2026_paper.pdf,source export,meta
55,63,wei2026evomas,EvoMAS: Heuristics in the Loop—Evolving Smarter Agentic Workflows,ICML,2026,https://openreview.net/forum?id=cdWnpXkcQo,source export,openreview
56,66,Yang_2025_CVPR,NADER: Neural Architecture Design via Multi-Agent Collaboration,CVPR,2025,https://openaccess.thecvf.com/content/CVPR2025/html/Yang_NADER_Neural_Architecture_Design_via_Multi-Agent_Collaboration_CVPR_2025_paper.html,source export,cvf
57,67,ji2025rznas,RZ-NAS: Enhancing LLM-guided Neural Architecture Search via Reflective Zero-Cost Strategy,ICML,2025,https://openreview.net/forum?id=9UExQpH078,source export,openreview
58,68,Ding_2025,EvoVLMA: Evolutionary Vision-Language Model Adaptation,ACMMM,2025,http://dx.doi.org/10.1145/3746027.3755520,source export,doi
59,81,wang2024voyager,Voyager: An Open-Ended Embodied Agent with Large Language Models,Accepted by TMLR,2024,https://openreview.net/forum?id=ehfRiF0R3a,source export,https://openreview.net/forum?id=ehfRiF0R3a
60,82,shinn2023reflexion,Reflexion: language agents with verbal reinforcement learning,NeurIPS,2023,https://openreview.net/forum?id=vAElhFcKW6,source export,review40_official.bib
61,88,DBLP:conf/aaai/Zhao0XLLH24,ExpeL: LLM Agents Are Experiential Learners,AAAI 2024,2024,https://doi.org/10.1609/aaai.v38i17.29936,source export,https://openreview.net/forum?id=lErv7eTDvS
62,7,xu2025metatextgrad,metaTextGrad: Automatically optimizing language model optimizers,NeurIPS,2025,https://openreview.net/forum?id=10s01YrlKp,source export,review40_official.bib
63,8,zelikman2024selftaught,Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation,COLM,2024,https://openreview.net/forum?id=46Zgqo4QIU,source export,review40_official.bib
64,15,wang2026huxleygodel,Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine,ICLR,2026,https://openreview.net/forum?id=T0EiEuhOOL,source export,review40_official.bib
65,99,madaan2023selfrefine,Self-Refine: Iterative Refinement with Self-Feedback,NeurIPS,2023,https://openreview.net/forum?id=S37hOerQLB,source export,review40_official.bib
66,100,chen2024teaching,Teaching Large Language Models to Self-Debug,ICLR,2024,https://openreview.net/forum?id=KuPixIqPiq,source export,openreview
67,,olausson2024is,Is Self-Repair a Silver Bullet for Code Generation?,ICLR,2024,https://openreview.net/forum?id=y0GJXRungR,source export,openreview
68,,tandon-etal-2022-learning,Learning to repair: Repairing model output errors after deployment using a dynamic memory of feedback,Findings of NAACL,2022,https://aclanthology.org/2022.findings-naacl.26/,source export,acl_anthology
69,83,gao-etal-2024-self-evolving,Self-Evolving GPT: A Lifelong Autonomous Experiential Learner,ACL,2024,https://aclanthology.org/2024.acl-long.346/,source export,acl_anthology
70,,lan2024llm,LLM-Based Agent Society Investigation: Collaboration and Confrontation in Avalon Gameplay,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,2024,https://aclanthology.org/2024.emnlp-main.7/,source export,https://aclanthology.org/2024.emnlp-main.7.bib
71,,mao-etal-2024-rag,RAG-Studio: Towards In-Domain Adaptation of Retrieval Augmented Generation Through Self-Alignment,Findings of EMNLP,2024,https://aclanthology.org/2024.findings-emnlp.41/,source export,acl_anthology
72,,wu2022autoformalization,Autoformalization with Large Language Models,NeurIPS,2022,https://openreview.net/forum?id=IUikebJ1Bf0,source export,openreview
73,,haluptzok2023language,Language Models Can Teach Themselves to Program Better,ICLR,2023,https://openreview.net/forum?id=SaRj2ka1XZ3,source export,openreview
74,,zhang2025multimind,MultiMind: Enhancing Werewolf Agents with Multimodal Reasoning and Theory of Mind,Proceedings of the 33rd ACM International Conference on Multimedia,2025,http://dx.doi.org/10.1145/3746027.3755752,source export,https://api.crossref.org/works/10.1145/3746027.3755752/transform/application/x-bibtex
75,,DBLP:conf/nips/SchickDDRLHZCS23,Toolformer: Language Models Can Teach Themselves to Use Tools,NeurIPS 2023,2023,http://papers.nips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html,source export,https://openreview.net/forum?id=psqD4Ny7yi
76,,hsieh-etal-2023-distilling,Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes,Findings of the Association for Computational Linguistics: ACL 2023,2023,https://aclanthology.org/2023.findings-acl.507/,source export,https://aclanthology.org/2023.findings-acl.507.bib
77,,tong-etal-2024-llms,Can LLMs Learn from Previous Mistakes? Investigating LLMs’ Errors to Boost for Reasoning,ACL,2024,https://aclanthology.org/2024.acl-long.169/,source export,acl_anthology
78,90,cho-etal-2025-self,Self-Correcting Code Generation Using Small Language Models,Findings of EMNLP,2025,https://aclanthology.org/2025.findings-emnlp.127/,source export,acl_anthology
79,,Yang_2024_CVPR,Embodied Multi-Modal Agent trained by an LLM from a Parallel TextWorld,CVPR,2024,https://openaccess.thecvf.com/content/CVPR2024/html/Yang_Embodied_Multi-Modal_Agent_trained_by_an_LLM_from_a_Parallel_CVPR_2024_paper.html,source export,cvf
80,,zhang2025dvm,DVM: Towards Controllable LLM Agents in Social Deduction Games,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2025,http://dx.doi.org/10.1109/ICASSP49660.2025.10888525,source export,https://api.crossref.org/works/10.1109/ICASSP49660.2025.10888525/transform/application/x-bibtex
81,,NEURIPS2023_a85b405e,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Advances in Neural Information Processing Systems,2023,https://proceedings.neurips.cc/paper_files/paper/2023/file/a85b405ed65c6477a4fe8302b5e06ce7-Paper-Conference.pdf,source export,https://proceedings.neurips.cc/paper_files/paper/22372-/bibtex
82,,rajaee-etal-2025-local,Local Look-Ahead Guidance via Verifier-in-the-Loop for Automated Theorem Proving,Findings of ACL,2025,https://aclanthology.org/2025.findings-acl.825/,source export,acl_anthology
83,,Liao_2025_CVPR,Can Large Vision-Language Models Correct Semantic Grounding Errors By Themselves?,CVPR,2025,https://openaccess.thecvf.com/content/CVPR2025/html/Liao_Can_Large_Vision-Language_Models_Correct_Semantic_Grounding_Errors_By_Themselves_CVPR_2025_paper.html,source export,review40_official.bib
84,,li2026webdevjudge,WebDevJudge: Evaluating (M)LLMs as Critiques for Web Development Quality,ICLR,2026,https://openreview.net/forum?id=CCSPm6V5EF,source export,openreview
85,,deutsch-etal-2022-limitations,On the Limitations of Reference-Free Evaluations of Generated Text,EMNLP,2022,https://aclanthology.org/2022.emnlp-main.753/,source export,review40_official.bib
86,,son2026judging,Judging What We Cannot Solve: A Consequence-Based Approach for Oracle-Free Evaluation of Research-Level Math,ICML,2026,https://openreview.net/forum?id=Dkwqzk5sAD,source export,openreview
87,,zhang2025persona,Enhancing Jailbreak Attacks on LLMs via Persona Prompts,arXiv,2026,https://arxiv.org/abs/2507.22171,source export,https://arxiv.org/bibtex/2507.22171
88,,pryzant-etal-2023-automatic,Automatic Prompt Optimization with ``Gradient Descent'' and Beam Search,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,2023,https://aclanthology.org/2023.emnlp-main.494/,source export,https://aclanthology.org/2023.emnlp-main.494.bib
89,,agrawal2026gepa,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,ICLR 2026 Oral,2026,https://openreview.net/forum?id=RQm2KQTM5r,source export,https://openreview.net/forum?id=RQm2KQTM5r
90,70,yuan-etal-2025-dolphin,"Dolphin: Moving Towards Closed-loop Auto-research through Thinking, Practice, and Feedback",ACL,2025,https://aclanthology.org/2025.acl-long.1056/,source export,review40_official.bib
91,71,turcan2026tusoai,TusoAI: Agentic Optimization for Scientific Methods,ICLR,2026,https://openreview.net/forum?id=0M6BfcAVMW,source export,review40_official.bib
92,74,pmlr-v235-zeng24b,tnGPS: Discovering Unknown Tensor Network Structure Search Algorithms via Large Language Models (LLMs),ICML,2024,https://proceedings.mlr.press/v235/zeng24b.html,source export,pmlr
93,75,aglietti2025funbo,FunBO: Discovering Acquisition Functions for Bayesian Optimization with FunSearch,ICML,2025,https://openreview.net/forum?id=XjbJR9374o,source export,openreview
94,,pmlr-v235-chen24j,Self-Play Fine-Tuning Converts Weak Language Models to Strong Language Models,ICML,2024,https://proceedings.mlr.press/v235/chen24j.html,source export,https://proceedings.mlr.press/v235/chen24j.html
95,,zelikman2024quietstar,Quiet-STaR: Language Models Can Teach Themselves to Think Before Speaking,COLM,2024,https://openreview.net/forum?id=oRXPiSOGH9,source export,https://openreview.net/forum?id=oRXPiSOGH9
96,,yang2025spend,Spend Wisely: Maximizing Post-Training Gains in Iterative Synthetic Data Bootstrapping,NeurIPS,2025,https://openreview.net/forum?id=aqpHTPC63N,source export,review40_official.bib
97,89,qu2024recursive,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,NeurIPS,2024,https://openreview.net/forum?id=DRC9pZwBwR,source export,openreview
98,23,pourcel2025selfimproving,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI,ICML,2025,https://openreview.net/forum?id=z4IG090qt2,source export,openreview
99,,surina2025algorithm,Algorithm Discovery With LLMs: Evolutionary Search Meets Reinforcement Learning,COLM,2025,https://openreview.net/forum?id=dNW3RGW0gi,source export,openreview
100,,kumarappan2025leanagent,LeanAgent: Lifelong Learning for Formal Theorem Proving,ICLR,2025,https://openreview.net/forum?id=Uo4EHT4ZZ8,source export,openreview
101,,poesia2024learning,Learning Formal Mathematics From Intrinsic Motivation,NeurIPS,2024,https://openreview.net/forum?id=uNKlTQ8mBD,source export,openreview
102,,wan-etal-2026-inference,Inference-Time Scaling of Verification: Self-Evolving Deep Research Agents via Test-Time Rubric-Guided Verification,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.1243/,source export,acl_anthology
103,94,cai2026from,From Player to Master: Enhancing Test-Time Learning of LLM Agents via Reinforcement Learning over Memory,ICML,2026,https://openreview.net/forum?id=gNWNtstp3r,source export,openreview
104,,guo-etal-2026-counteracting,Counteracting the Matthew Effect in Self-Improvement of LVLMs through Head-Tail Re-balancing,ACL,2026,https://aclanthology.org/2026.acl-long.1010/,source export,acl_anthology
105,,tsoukalas2025learning,Learning Interestingness in Automated Mathematical Theory Formation,NeurIPS,2025,https://openreview.net/forum?id=RespmwOoCH,source export,openreview
106,,zhou2023lima,LIMA: Less Is More for Alignment,NeurIPS 2023 poster,2023,https://openreview.net/forum?id=KBMOKmX2he,source export,https://openreview.net/forum?id=KBMOKmX2he
107,,lee2025selfimproving,Self-Improving Transformers Overcome Easy-to-Hard and Length Generalization Challenges,ICML,2025,https://openreview.net/forum?id=ZtX0MBT6mf,source export,openreview
108,,Shumailov2024,AI models collapse when trained on recursively generated data,Nature,2024,https://doi.org/10.1038/s41586-024-07566-y,source export,https://citation-needed.springer.com/v2/references/10.1038/s41586-024-07566-y?format=bibtex&flavour=citation
109,,pmlr-v235-fu24i,Towards Theoretical Understandings of Self-Consuming Generative Models,ICML,2024,https://proceedings.mlr.press/v235/fu24i.html,source export,review40_official.bib
110,,gerstgrasser2024is,Is Model Collapse Inevitable? Breaking the Curse of Recursion by Accumulating Real and Synthetic Data,ECCV 2024 Workshop The Dark Side of Generative AIs and Beyond,2024,https://openreview.net/forum?id=y4vaskUK1b,source export,supplemental_sources/accumulation.bib
111,,falahati2026curated,Curated Synthetic Data Doesn’t Have to Collapse: A Theoretical Study of Generative Retraining with Pluralistic Preferences,ICML,2026,https://openreview.net/forum?id=kwvtSA9ed3,source export,review40_official.bib
112,91,Wei_2025_ICCV,GTR: Guided Thought Reinforcement Prevents Thought Collapse in RL-based VLM Agent Training,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Wei_GTR_Guided_Thought_Reinforcement_Prevents_Thought_Collapse_in_RL-based_VLM_ICCV_2025_paper.html,source export,cvf
113,,yu2025selfverifying,Self-Verifying Reflection Helps Transformers with CoT Reasoning,NeurIPS,2025,https://openreview.net/forum?id=4MvqmXnCEr,source export,openreview
114,,wang2025beyond,Beyond Accuracy: Dissecting Mathematical Reasoning for LLMs Under Reinforcement Learning,NeurIPS,2025,https://openreview.net/forum?id=vTWNVYuvuF,source export,openreview
115,,DBLP:conf/nips/ZhengC00WZL0LXZ23,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS 2023,2023,http://papers.nips.cc/paper_files/paper/2023/hash/91f18a1287b398d378ef22505bf41832-Abstract-Datasets_and_Benchmarks.html,source export,https://openreview.net/forum?id=RAW0XaE5nq
116,,shen-etal-2023-large,Large Language Models are Not Yet Human-Level Evaluators for Abstractive Summarization,Findings of EMNLP,2023,https://aclanthology.org/2023.findings-emnlp.278/,source export,review40_official.bib
117,,chen-etal-2024-humans,Humans or LLMs as the Judge? A Study on Judgement Bias,EMNLP,2024,https://aclanthology.org/2024.emnlp-main.474/,source export,acl_anthology
118,,hwang-etal-2025-fooling,Fooling the LVLM Judges: Visual Biases in LVLM-Based Evaluation,EMNLP,2025,https://aclanthology.org/2025.emnlp-main.1182/,source export,acl_anthology
119,,kamoi2024evaluating,Evaluating LLMs at Detecting Errors in LLM Responses,COLM,2024,https://openreview.net/forum?id=dnwRScljXr,source export,openreview
120,,chiang-lee-2023-closer,A Closer Look into Using Large Language Models for Automatic Evaluation,Findings of EMNLP,2023,https://aclanthology.org/2023.findings-emnlp.599/,source export,acl_anthology
121,,hsu-etal-2023-gpt,GPT-4 as an Effective Zero-Shot Evaluator for Scientific Figure Captions,Findings of EMNLP,2023,https://aclanthology.org/2023.findings-emnlp.363/,source export,acl_anthology
122,,chen2024are,Are We on the Right Way for Evaluating Large Vision-Language Models?,NeurIPS,2024,https://openreview.net/forum?id=evP9mxNNxJ,source export,openreview
123,,pmlr-v202-gao23h,Scaling Laws for Reward Model Overoptimization,ICML,2023,https://proceedings.mlr.press/v202/gao23h.html,source export,review40_official.bib
124,,wen2025rethinking,Rethinking Reward Model Evaluation: Are We Barking up the Wrong Tree?,ICLR,2025,https://openreview.net/forum?id=Cnwz9jONi5,source export,review40_official.bib
125,,huang2025is,"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment",ICML,2025,https://openreview.net/forum?id=QnjfkhrbYK,source export,openreview
126,,farquhar2025mona,MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,ICML,2025,https://openreview.net/forum?id=fyi34BxCwq,source export,openreview
127,,zhou2026alignment,Alignment Risks from Capability-Seeking RL Training,ICML,2026,https://openreview.net/forum?id=Rbeke9PVvD,source export,openreview
128,84,su-etal-2026-mistake,Mistake Notebook Learning: Batch-Clustered Failures for Training-Free Agent Adaptation,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.719/,source export,acl_anthology
129,85,liu-etal-2025-contextual,Contextual Experience Replay for Self-Improvement of Language Agents,ACL,2025,https://aclanthology.org/2025.acl-long.694/,source export,acl_anthology
130,86,ge-etal-2025-samule,SAMULE: Self-Learning Agents Enhanced by Multi-level Reflection,EMNLP,2025,https://aclanthology.org/2025.emnlp-main.839/,source export,acl_anthology
131,,Zhang2026evolving,Evolving Generalist Virtual Agents with Generative and Associative Memory,AAAI,2026,https://doi.org/10.1609/aaai.v40i15.38300,source export,meta
132,,chai2026evolvenav,EvolveNav: Proactive Preflection and Self-Evolving Memory for Zero-Shot Object Goal Navigation,arXiv,2026,https://arxiv.org/abs/2606.18235,source export,https://arxiv.org/bibtex/2606.18235
133,,zhang2026genesis,Genesis: Evolving Attack Strategies for LLM Web Agent Red-Teaming,arXiv,2026,https://arxiv.org/abs/2510.18314,source export,https://arxiv.org/bibtex/2510.18314
134,,shen2026structurally,Structurally Aligned Subtask-Level Memory for Software Engineering Agents,ICML,2026,https://openreview.net/forum?id=2CoRS45Ucj,source export,openreview
135,,hu2026evaluating,EVALUATING MEMORY IN LLM AGENTS VIA INCRE- MENTAL MULTI-TURN INTERACTIONS,ICLR,2026,https://openreview.net/forum?id=DT7JyQC3MR,source export,openreview
136,,cho2026forget,Forget Forgetting: Continual Learning in a World of Abundant Memory,ICLR,2026,https://openreview.net/forum?id=fvL8IIEPxG,source export,openreview
137,,dorovatas2026position,Position: Modular Memory is the Key to Continual Learning Agents,ICML,2026,https://openreview.net/forum?id=iBXcqA5N6j,source export,openreview
138,,shao2026your,Your Agent May Misevolve: Emergent Risks in Self-evolving LLM Agents,ICLR,2026,https://openreview.net/forum?id=Fd1jgQQW28,source export,review40_official.bib
